string_protein_id	uniprotkb
10090.ENSMUSP00000000001	14679
10090.ENSMUSP00000000003	54192
10090.ENSMUSP00000000010	15417
10090.ENSMUSP00000000028	12544
10090.ENSMUSP00000000049	11818
10090.ENSMUSP00000000058	12390
10090.ENSMUSP00000000080	A0A1Y7VLA9
10090.ENSMUSP00000000090	12858
10090.ENSMUSP00000000095	21385
10090.ENSMUSP00000000122	18053
10090.ENSMUSP00000000127	22415
10090.ENSMUSP00000000129	14158
10090.ENSMUSP00000000137	66713
10090.ENSMUSP00000000153	14673
10090.ENSMUSP00000000161	16415
10090.ENSMUSP00000000171	72614
10090.ENSMUSP00000000175	66925
10090.ENSMUSP00000000186	64654
10090.ENSMUSP00000000187	14177
10090.ENSMUSP00000000188	12444
10090.ENSMUSP00000000193	20296
10090.ENSMUSP00000000194	20293
10090.ENSMUSP00000000199	14299
10090.ENSMUSP00000000201	338370
10090.ENSMUSP00000000206	72014
10090.ENSMUSP00000000208	20558
10090.ENSMUSP00000000219	1.14.16.2
10090.ENSMUSP00000000221	20278
10090.ENSMUSP00000000253	16870
10090.ENSMUSP00000000254	70809
10090.ENSMUSP00000000260	1.7.1.7
10090.ENSMUSP00000000266	26388
10090.ENSMUSP00000000275	110304
10090.ENSMUSP00000000287	3.4.16.-
10090.ENSMUSP00000000291	17428
10090.ENSMUSP00000000299	16414
10090.ENSMUSP00000000304	69692
10090.ENSMUSP00000000305	21987
10090.ENSMUSP00000000312	12550
10090.ENSMUSP00000000314	12561
10090.ENSMUSP00000000317	12716
10090.ENSMUSP00000000326	12029
10090.ENSMUSP00000000327	17312
10090.ENSMUSP00000000329	1.13.11.12
10090.ENSMUSP00000000342	20292
10090.ENSMUSP00000000348	6.5.1.4
10090.ENSMUSP00000000349	13171
10090.ENSMUSP00000000356	23994
10090.ENSMUSP00000000365	68995
10090.ENSMUSP00000000369	19700
10090.ENSMUSP00000000384	A0A1W2P717
10090.ENSMUSP00000000388	216527
10090.ENSMUSP00000000395	3.4.21.-
10090.ENSMUSP00000000412	54156
10090.ENSMUSP00000000421	2.7.11.1
10090.ENSMUSP00000000445	17877
10090.ENSMUSP00000000449	2.3.2.27
10090.ENSMUSP00000000450	19016
10090.ENSMUSP00000000451	110157
10090.ENSMUSP00000000466	11520
10090.ENSMUSP00000000500	18591
10090.ENSMUSP00000000505	17220
10090.ENSMUSP00000000542	11482
10090.ENSMUSP00000000543	56149
10090.ENSMUSP00000000544	11479
10090.ENSMUSP00000000573	12659
10090.ENSMUSP00000000574	A3AR
