string_protein_id	uniprotkb
4932.Q0010	ORF6
4932.Q0017	ORF7
4932.Q0032	ORF8
4932.Q0045	1.9.3.1
4932.Q0050	854593
4932.Q0055	854594
4932.Q0060	3.1.-.-
4932.Q0065	3.1.-.-
4932.Q0070	3.1.-.-
4932.Q0075	3.1.-.-
4932.Q0080	24573117
4932.Q0085	6B2Z
4932.Q0092	ORF5
4932.Q0105	1EZV
4932.Q0110	854604
4932.Q0115	2AB5
4932.Q0120	3.1.-.-
4932.Q0130	24573116
4932.Q0140	5MRC
4932.Q0142	ORF9
4932.Q0143	ORF10
4932.Q0144	Q0144
4932.Q0160	1R7M
4932.Q0182	ORF11
4932.Q0250	1.9.3.1
4932.Q0255	854623
4932.Q0275	1.9.3.1
4932.Q0297	ORF12
4932.YAL001C	5AIM
4932.YAL002W	851261
4932.YAL003W	1F60
4932.YAL004W	P39703
4932.YAL005C	3LCA
4932.YAL007C	851226
4932.YAL008W	851225
4932.YAL009W	851224
4932.YAL010C	851223
4932.YAL011W	851222
4932.YAL012W	1N8P
4932.YAL013W	851220
4932.YAL014C	851219
4932.YAL015C	3.2.2.-
4932.YAL016C-A	A0A023PYC6
4932.YAL016C-B	P0C1V3
4932.YAL016W	2AAA_YEAST
4932.YAL017W	2.7.11.1
4932.YAL018C	851215
4932.YAL019W	3.6.4.12
4932.YAL019W-A	A0A023PXA5
4932.YAL020C	4D4O
4932.YAL021C	3.1.13.4
4932.YAL022C	851211
4932.YAL023C	2.4.1.109
4932.YAL024C	851209
4932.YAL025C	5Z3G
4932.YAL026C	6PSX
4932.YAL026C-A	A0A023PXH4
4932.YAL027W	851206
4932.YAL028W	851205
4932.YAL029C	3MMI
4932.YAL030W	3B5N
4932.YAL031C	851202
4932.YAL031W-A	A0A023PZ94
4932.YAL032C	5GM6
4932.YAL033W	3.1.26.5
4932.YAL034C	851199
4932.YAL034C-B	O13515
4932.YAL034W-A	851197
4932.YAL035W	3.6.5.3
4932.YAL036C	4A9A
4932.YAL037C-A	1466428
4932.YAL037C-B	Putative uncharacterized protein YAL037C-B
4932.YAL037W	851194
4932.YAL038W	1A3W
4932.YAL039C	4.4.1.17
4932.YAL040C	851191
4932.YAL041W	1PQS
4932.YAL042C-A	O13514
4932.YAL042W	851256
4932.YAL043C	851255
4932.YAL044C	851254
4932.YAL044W-A	851252
4932.YAL045C	P39725
4932.YAL046C	851251
4932.YAL047C	851250
4932.YAL047W-A	A0A023PZE2
4932.YAL048C	3.6.5.-
4932.YAL049C	851248
4932.YAL051W	851247
4932.YAL053W	851246
4932.YAL054C	1RY2
4932.YAL055W	2Y9M
4932.YAL056C-A	O13513
4932.YAL056W	851243
4932.YAL058W	851241
4932.YAL059C-A	A0A023PYD0
4932.YAL059W	851240
4932.YAL060W	(R,R)-butanediol dehydrogenase
4932.YAL061W	1.1.1.303
4932.YAL062W	1.4.1.4
4932.YAL063C	851236
4932.YAL063C-A	1466427
4932.YAL064C-A	851234
4932.YAL064W	851235
4932.YAL064W-B	851233
4932.YAL065C	851232
4932.YAL066W	P39710
4932.YAL067C	851230
4932.YAL067W-A	1466426
4932.YAL068C	851229
4932.YAL068W-A	Putative UPF0320 protein YAL068W-A
4932.YAL069W	O13588
4932.YAR002C-A	851264
4932.YAR002W	851263
4932.YAR003W	6BX3
4932.YAR007C	1YNX
4932.YAR008W	4.6.1.16
4932.YAR014C	851271
4932.YAR015W	1A48
4932.YAR018C	2.7.11.1
4932.YAR019C	2.7.11.1
4932.YAR019W-A	A0A023PXB0
4932.YAR020C	851275
4932.YAR023C	851276
4932.YAR027W	851279
4932.YAR028W	851280
4932.YAR029W	851281
4932.YAR030C	P39550
4932.YAR031W	851282
4932.YAR033W	851284
4932.YAR035C-A	1466430
4932.YAR035W	2.3.1.7
4932.YAR042W	5H28
4932.YAR047C	P39557
4932.YAR050W	4LHL
4932.YAR053W	P39559
4932.YAR060C	P0CX88
4932.YAR064W	851294
4932.YAR066W	851295
4932.YAR068W	851296
4932.YAR069C	1466534
4932.YAR070C	P39566
4932.YAR071W	3.1.3.2
4932.YAR073W	1.1.1.205
4932.YAR075W	O42831
4932.YBL001C	1LXJ
4932.YBL002W	1ID3
4932.YBL003C	4JJN
4932.YBL004W	852282
4932.YBL005W	852278
4932.YBL006C	852277
4932.YBL006W-A	Putative uncharacterized protein YBL006W-A
4932.YBL007C	1SSH
4932.YBL008W	852275
4932.YBL008W-A	1466442
4932.YBL009W	NP_009544.1
4932.YBL010C	852273
4932.YBL011W	2.3.1.15
4932.YBL012C	P38209
4932.YBL013W	2.1.2.9
4932.YBL014C	5N5Y
4932.YBL015W	3.1.2.1
4932.YBL016W	2.7.11.24
4932.YBL017C	852264
4932.YBL018C	3.1.26.5
4932.YBL019W	4.2.99.18
4932.YBL020W	852261
4932.YBL021C	852260
4932.YBL022C	3.4.21.53
4932.YBL023C	3.6.4.12
4932.YBL024W	2.1.1.202
4932.YBL025W	852256
4932.YBL026W	3JCM
4932.YBL027W	1K5Y
4932.YBL028C	3JCT
4932.YBL029C-A	852251
4932.YBL029W	852252
4932.YBL030C	4C9G
4932.YBL031W	852249
4932.YBL032W	852248
4932.YBL033C	3.5.4.25
4932.YBL034C	6COK
4932.YBL035C	3FLO
4932.YBL036C	1B54
4932.YBL037W	852243
4932.YBL038W	3J6B
4932.YBL039C	6.3.4.2
4932.YBL039C-A	P0C5K9
4932.YBL039W-B	1466441
4932.YBL040C	852240
4932.YBL041W	1FNT
4932.YBL042C	852238
4932.YBL043W	852237
4932.YBL044W	852236
4932.YBL045C	1EZV
4932.YBL046W	852234
4932.YBL047C	2G3Q
4932.YBL048W	RRT1_YEAST
4932.YBL049W	852231
4932.YBL050W	1QQE
4932.YBL051C	2A0T
4932.YBL052C	2.3.1.48
4932.YBL053W	P38190
4932.YBL054W	852226
4932.YBL055C	3.1.21.-
4932.YBL056W	3.1.3.16
4932.YBL057C	3.1.1.29
4932.YBL058W	6OPC
4932.YBL059C-A	852220
4932.YBL059W	852221
4932.YBL060W	852219
4932.YBL061C	852218
4932.YBL062W	P38189
4932.YBL063W	852216
4932.YBL064C	1-Cys PRX
4932.YBL065W	P38188
4932.YBL066C	852214
4932.YBL067C	3.4.19.12
4932.YBL068W	2.7.6.1
4932.YBL068W-A	P0C5L1
4932.YBL069W	852209
4932.YBL070C	P38186
4932.YBL071C	852208
4932.YBL071C-B	1466440
4932.YBL071W-A	1YOP
4932.YBL072C	3J6X
4932.YBL073W	P38184
4932.YBL074C	3SBS
4932.YBL075C	852203
4932.YBL076C	6.1.1.5
4932.YBL077W	P38183
4932.YBL078C	2KQ7
4932.YBL079W	3I5P
4932.YBL080C	4N0H
4932.YBL081W	852197
4932.YBL082C	2.4.1.258
4932.YBL083C	P38178
4932.YBL084C	852194
4932.YBL085W	852193
4932.YBL086C	852192
4932.YBL087C	1K5Y
4932.YBL088C	2.7.11.1
4932.YBL089W	852189
4932.YBL090W	37S ribosomal protein MRP21, mitochondrial
4932.YBL091C	3.4.11.18
4932.YBL091C-A	852186
4932.YBL092W	4V8Y
4932.YBL093C	5OQM
4932.YBL094C	P38173
4932.YBL095W	852181
4932.YBL096C	P38171
4932.YBL097W	5OQN
4932.YBL098W	1.14.13.9
4932.YBL099W	2HLD
4932.YBL100C	P38168
4932.YBL100W-C	1466439
4932.YBL101C	852173
4932.YBL102W	852172
4932.YBL103C	852171
4932.YBL104C	852170
4932.YBL105C	2.7.11.13
4932.YBL106C	852168
4932.YBL107C	852167
4932.YBL107W-A	Putative uncharacterized protein YBL107W-A
4932.YBL108W	P38161
4932.YBL109W	P89495
4932.YBL111C	852161
4932.YBL112C	852160
4932.YBL113C	852159
4932.YBL113W-A	Putative UPF0479 protein YBL113W-A
4932.YBR001C	3.2.1.28
4932.YBR002C	2.5.1.87
4932.YBR003W	2.5.1.-
4932.YBR004C	2.4.1.-
4932.YBR005W	852290
4932.YBR006W	1.2.1.16
4932.YBR007C	852292
4932.YBR008C	852293
4932.YBR009C	1E6I
4932.YBR010W	1ID3
4932.YBR011C	117E
4932.YBR012C	P38214
4932.YBR013C	852300
4932.YBR014C	852302
4932.YBR015C	2.4.1.-
4932.YBR016W	852304
4932.YBR017C	852305
4932.YBR018C	2.7.7.12
4932.YBR019C	1Z45
4932.YBR020W	2.7.1.6
4932.YBR021W	852309
4932.YBR022W	3.1.3.84
4932.YBR023C	2.4.1.16
4932.YBR024W	852312
4932.YBR025C	852313
4932.YBR026C	1.3.1.104
4932.YBR027C	852315
4932.YBR028C	2.7.11.1
4932.YBR029C	2.7.7.41
4932.YBR030W	2.1.1.-
4932.YBR031W	1K5Y
4932.YBR032W	852320
4932.YBR033W	852321
4932.YBR034C	1G6Q
4932.YBR035C	1.4.3.5
4932.YBR036C	852324
4932.YBR037C	2B7J
4932.YBR038W	2.4.1.16
4932.YBR039W	2HLD
4932.YBR040W	852328
4932.YBR041W	852329
4932.YBR042C	2.3.-.-
4932.YBR043C	852331
4932.YBR044C	852332
4932.YBR045C	852334
4932.YBR046C	1.6.5.5
4932.YBR047W	852336
4932.YBR048W	1K5X
4932.YBR049C	852338
4932.YBR050C	852340
4932.YBR051W	P38233
4932.YBR052C	852341
4932.YBR053C	852342
4932.YBR054W	852343
4932.YBR055C	3JCM
4932.YBR056C-B	P0C5L0
4932.YBR056W	3.2.1.-
4932.YBR056W-A	1466443
4932.YBR057C	852348
4932.YBR058C	3.4.19.12
4932.YBR058C-A	852350
4932.YBR059C	2.7.11.1
4932.YBR060C	5V8F
4932.YBR061C	2'-O-ribose RNA methyltransferase TRM7
4932.YBR062C	852354
4932.YBR063C	852356
4932.YBR064W	P38240
4932.YBR065C	5GM6
4932.YBR066C	852358
4932.YBR067C	3.1.1.-
4932.YBR068C	852360
4932.YBR069C	852361
4932.YBR070C	852362
4932.YBR071W	852363
4932.YBR072C-A	1466444
4932.YBR072W	26 kDa heat shock protein
4932.YBR073W	3.6.4.12
4932.YBR074W	3.4.-.-
4932.YBR076C-A	P0C5L2
4932.YBR076W	852368
4932.YBR077C	3LGO
4932.YBR078W	852370
4932.YBR079C	3JAP
4932.YBR080C	1CR5
4932.YBR081C	852373
4932.YBR082C	1QCQ
4932.YBR083W	852377
4932.YBR084C-A	P0CX82
4932.YBR084W	1.5.1.5
4932.YBR085C-A	852381
4932.YBR085W	4C9J
4932.YBR086C	852382
4932.YBR087W	1SXJ
4932.YBR088C	1PLQ
4932.YBR089C-A	852386
4932.YBR089W	P38252
4932.YBR090C	852387
4932.YBR091C	852388
4932.YBR092C	3.1.3.2
4932.YBR093C	P00635
4932.YBR094W	6.3.2.25
4932.YBR095C	852392
4932.YBR096W	852393
4932.YBR097W	2.7.11.1
4932.YBR098W	3.1.22.-
4932.YBR099C	P38258
4932.YBR101C	852397
4932.YBR102C	2D2S
4932.YBR103C-A	P0C5L3
4932.YBR103W	1R5M
4932.YBR104W	852401
4932.YBR105C	6SWY
4932.YBR106W	852403
4932.YBR107C	4IT3
4932.YBR108W	852405
4932.YBR109C	1F54
4932.YBR109W-A	P90471
4932.YBR110W	2.4.1.142
4932.YBR111C	3.6.1.13
4932.YBR111W-A	1466445
4932.YBR112C	852410
4932.YBR113W	P38267
4932.YBR114W	3.6.4.-
4932.YBR115C	1.2.1.31
4932.YBR116C	P38268
4932.YBR117C	2.2.1.1
4932.YBR118W	1F60
4932.YBR119W	5ZWN
4932.YBR120C	852417
4932.YBR121C	2.7.7.-
4932.YBR121C-A	P0C5L4
4932.YBR122C	3J6B
4932.YBR123C	852421
4932.YBR124W	P38269
4932.YBR125C	3.1.3.16
4932.YBR126C	2.4.1.15
4932.YBR126W-A	13393614
4932.YBR126W-B	A0A023PXH5
4932.YBR127C	3J9T
4932.YBR128C	852425
4932.YBR129C	852426
4932.YBR130C	4LL7
4932.YBR131C-A	Putative uncharacterized protein YBR131C-A
4932.YBR131W	852428
4932.YBR132C	852429
4932.YBR133C	2.1.1.320
4932.YBR134W	P38275
4932.YBR135W	1QB3
4932.YBR136W	2.7.11.1
4932.YBR137W	4CLC
4932.YBR138C	852435
4932.YBR139W	3.4.16.-
4932.YBR140C	852437
4932.YBR141C	2.1.1.286
4932.YBR141W-A	Putative uncharacterized protein YBR141W-A
4932.YBR142W	3.6.4.13
4932.YBR143C	4CRM
4932.YBR144C	A0A1S0SZZ3
4932.YBR145W	1.1.1.1
4932.YBR146W	37S ribosomal protein S9, mitochondrial
4932.YBR147W	852444
4932.YBR148W	852445
4932.YBR149W	1.1.1.117
4932.YBR150C	852447
4932.YBR151W	852448
4932.YBR152W	5NRL
4932.YBR153W	1.1.1.302
4932.YBR154C	1DZF
4932.YBR155W	6HFM
4932.YBR156C	852453
4932.YBR157C	852454
4932.YBR158W	852455
4932.YBR159W	1.1.1.330
4932.YBR160W	2.7.11.22
4932.YBR161W	2.-.-.-
4932.YBR162C	852459
4932.YBR162W-A	852460
4932.YBR163W	3.1.-.-
4932.YBR164C	1MOZ
4932.YBR165W	852463
4932.YBR166C	1.3.1.13
4932.YBR167C	3.1.26.5
4932.YBR168W	852466
4932.YBR169C	852467
4932.YBR170C	6OA9
4932.YBR171W	6N3Q
4932.YBR172C	3FMA
4932.YBR173C	852471
4932.YBR174C	P38294
4932.YBR175W	6BX3
4932.YBR176W	2.1.2.11
