ensembl_gene	uniprotkb
ENSG00000108953	P62258
ENSG00000128245	Q04917
ENSG00000170027	P61981
ENSG00000175793	P31947
ENSG00000134308	P27348
ENSG00000164924	P63104
ENSG00000110455	Q96QU6
ENSG00000066027	Q15172
ENSG00000068971	Q15173
ENSG00000112640	Q14738
ENSG00000105568	P30153
ENSG00000203857	P14060
ENSG00000099377	Q9H2F3
ENSG00000100092	Q9Y3L3
ENSG00000087266	P78314
ENSG00000175137	Q7L8J4
ENSG00000131370	O60239
ENSG00000162882	P46952
ENSG00000106049	P31937
ENSG00000103152	P29372
ENSG00000187840	Q13541
ENSG00000148730	Q13542
ENSG00000243056	O60516
ENSG00000184708	Q9NRA8
ENSG00000168003	P08195
ENSG00000135312	P28222
ENSG00000147246	P28335
ENSG00000116981	Q9BXI3
ENSG00000122643	Q9H0P0
ENSG00000076685	P49902
ENSG00000135318	P21589
ENSG00000130313	O95336
ENSG00000166922	P05408
ENSG00000106268	P36639
ENSG00000161618	Q8IZ83
ENSG00000085978	Q676U5
ENSG00000148584	Q9NQ94
ENSG00000142192	P05067
ENSG00000128271	P29274
ENSG00000130876	Q9NS82
ENSG00000114771	P22760
ENSG00000105281	Q15758
ENSG00000103591	Q6PD74
ENSG00000111725	Q9Y478
ENSG00000131791	O43741
ENSG00000181929	P54619
ENSG00000115592	Q9UGI9
ENSG00000087884	Q9H7C9
ENSG00000127837	Q13685
ENSG00000162409	P54646
ENSG00000205002	Q4LEZ3
ENSG00000108825	Q9BTE6
ENSG00000077420	Q7Z5R6
ENSG00000128383	P31941
ENSG00000179750	Q9UH17
ENSG00000244509	Q9NRW3
ENSG00000073734	O95342
ENSG00000164163	P61221
ENSG00000160179	P45844
ENSG00000172350	Q9H172
ENSG00000143921	Q9H221
ENSG00000111701	P41238
ENSG00000168792	Q6UXT9
ENSG00000100439	Q8TB40
ENSG00000011198	Q8WTS1
ENSG00000163686	Q9BV23
ENSG00000127220	Q96I13
ENSG00000106077	Q8NFV4
ENSG00000204427	O95870
ENSG00000136754	Q8IZP0
ENSG00000138443	Q9NYB9
ENSG00000108798	Q9P2A4
ENSG00000119328	Q9NX38
ENSG00000097007	P00519
ENSG00000143322	P42684
ENSG00000099204	O14639
ENSG00000163995	Q6H8Q1
ENSG00000173210	O94929
ENSG00000174429	Q8N0Z2
ENSG00000165660	Q15018
ENSG00000146109	Q9ULW3
ENSG00000114626	Q969K4
ENSG00000278540	Q13085
ENSG00000115361	P28330
ENSG00000072778	P49748
ENSG00000072818	Q15027
ENSG00000181513	Q8NC06
ENSG00000107897	Q5T8D3
ENSG00000230124	Q9BR61
ENSG00000176244	Q8N6N7
ENSG00000155368	P07108
ENSG00000240303	Q709F0
ENSG00000102977	Q96AP0
ENSG00000167769	Q8TDN7
ENSG00000177076	Q5QJU3
ENSG00000138435	P02708
ENSG00000117971	P30926
ENSG00000170175	P11230
ENSG00000196811	P07510
ENSG00000061938	Q07912
ENSG00000150756	Q6P4H8
ENSG00000144648	O00590
ENSG00000153086	Q8TDX5
ENSG00000162390	Q8WXI4
ENSG00000172497	Q8WYK0
ENSG00000112304	Q9NPJ3
ENSG00000101473	O14734
ENSG00000168306	Q99424
ENSG00000164062	P13798
ENSG00000004779	O14561
ENSG00000066813	Q68CK6
ENSG00000154930	Q9NUB1
ENSG00000167107	Q96CM8
ENSG00000176715	Q4G176
ENSG00000197142	Q9ULC5
