string_protein_id	uniprotkb
9606.ENSP00000000233	2B6H
9606.ENSP00000000412	1JUQ
9606.ENSP00000001008	1N1A
9606.ENSP00000001146	1.14.13.-
9606.ENSP00000002125	2.1.1.320
9606.ENSP00000002165	2519
9606.ENSP00000002596	1ZRH
9606.ENSP00000002829	6405
9606.ENSP00000003084	1080
9606.ENSP00000003100	1.14.14.154
9606.ENSP00000003302	2LVA
9606.ENSP00000004531	6542
9606.ENSP00000004982	126393
9606.ENSP00000005178	2.7.11.2
9606.ENSP00000005226	A0A0S2Z4U9
9606.ENSP00000005257	1UAD
9606.ENSP00000005260	2KXC
9606.ENSP00000005284	10368
9606.ENSP00000005286	54972
9606.ENSP00000005340	1856
9606.ENSP00000005386	4CGV
9606.ENSP00000005587	3OMH
9606.ENSP00000005995	10942
9606.ENSP00000006015	3207
9606.ENSP00000006053	1B2T
9606.ENSP00000006275	2C0J
9606.ENSP00000006526	84058
9606.ENSP00000006658	64847
9606.ENSP00000006724	1087
9606.ENSP00000006777	57414
9606.ENSP00000007390	115939
9606.ENSP00000007414	114881
9606.ENSP00000007699	51087
9606.ENSP00000007735	3883
9606.ENSP00000008391	83741
9606.ENSP00000008527	1407
9606.ENSP00000008938	1YCK
9606.ENSP00000009041	83930
9606.ENSP00000009105	2.7.11.17
9606.ENSP00000009530	1A6A
9606.ENSP00000010299	199870
9606.ENSP00000011292	1357
9606.ENSP00000011473	6856
9606.ENSP00000011619	10048
9606.ENSP00000011653	1CDH
9606.ENSP00000011898	10867
9606.ENSP00000012049	2.3.2.5
9606.ENSP00000012443	1A17
9606.ENSP00000013070	2.3.2.27
9606.ENSP00000013125	11183
9606.ENSP00000013222	11185
9606.ENSP00000013807	1Z00
9606.ENSP00000014914	9052
9606.ENSP00000014930	50865
9606.ENSP00000016171	1355
9606.ENSP00000016913	54860
9606.ENSP00000016946	729540
9606.ENSP00000017003	2.4.2.26
9606.ENSP00000019103	6344
9606.ENSP00000020926	1WFM
9606.ENSP00000020945	6591
9606.ENSP00000023064	11136
9606.ENSP00000023939	NP_057491.2
9606.ENSP00000025008	6DCE
9606.ENSP00000025301	11215
9606.ENSP00000026218	2.4.1.198
9606.ENSP00000027335	1015
9606.ENSP00000029410	11285
9606.ENSP00000033079	51306
9606.ENSP00000035307	2.4.1.226
9606.ENSP00000037243	11345
9606.ENSP00000037502	4653
9606.ENSP00000039007	1C9Y
9606.ENSP00000039989	55761
9606.ENSP00000040584	3224
9606.ENSP00000040663	4LDQ
9606.ENSP00000040738	259282
9606.ENSP00000040877	2.1.1.-
9606.ENSP00000043402	1OZN
9606.ENSP00000044462	3.4.25.1
9606.ENSP00000045083	140876
9606.ENSP00000046087	11055
9606.ENSP00000046794	1H3H
9606.ENSP00000052754	1634
9606.ENSP00000053243	1OQD
9606.ENSP00000053468	28S ribosomal protein S10, mitochondrial
9606.ENSP00000053469	2978
9606.ENSP00000053867	1G26
9606.ENSP00000054650	90326
9606.ENSP00000054666	9341
9606.ENSP00000054668	10911
9606.ENSP00000054950	5954
9606.ENSP00000055077	5982
9606.ENSP00000055335	89801
9606.ENSP00000055682	340533
9606.ENSP00000056217	7984
9606.ENSP00000056233	9603
9606.ENSP00000061240	3.4.24.-
9606.ENSP00000064571	140689
9606.ENSP00000064724	5010
9606.ENSP00000064778	23201
9606.ENSP00000064780	TNFRSF19L
9606.ENSP00000070846	3TT9
9606.ENSP00000072644	54432
9606.ENSP00000072869	2.7.11.-
9606.ENSP00000074304	3.1.3.66
9606.ENSP00000075120	4ZW9
9606.ENSP00000075503	2.7.10.2
9606.ENSP00000078429	2767
9606.ENSP00000078445	84699
9606.ENSP00000080059	3.5.1.98
9606.ENSP00000081029	28S ribosomal protein S28, mitochondrial
9606.ENSP00000083182	10513
